DATE,CABPPRIVSA
1988-01-01,16466.483108968998
1988-02-01,19704.3786206515
1988-03-01,19420.9456936104
1988-04-01,21148.677853845
1988-05-01,19129.807991499398
1988-06-01,21077.4705927905
1988-07-01,18940.715006129598
1988-08-01,22646.438667437596
1988-09-01,20723.743662112
1988-10-01,22482.9341485181
1988-11-01,27485.2416722183
1988-12-01,19450.3370892939
1989-01-01,19852.0929914287
1989-02-01,20109.923831168002
1989-03-01,18775.392645966
1989-04-01,19020.2190751104
1989-05-01,20713.5986871187
1989-06-01,18036.0713524081
1989-07-01,19990.027236865702
1989-08-01,18271.9380245585
1989-09-01,19103.0975447321
1989-10-01,19545.8796030196
1989-11-01,20392.679838101798
1989-12-01,23086.295504452202
1990-01-01,20920.4833919976
1990-02-01,19301.841661489398
1990-03-01,16533.6051921884
1990-04-01,14412.0598973866
1990-05-01,14303.479866313
1990-06-01,13872.820538054099
1990-07-01,12526.114929566398
1990-08-01,12108.923718706299
1990-09-01,11272.0959110276
1990-10-01,9364.925354398041
1990-11-01,9445.09220412345
1990-12-01,8227.87576252197
1991-01-01,8856.772608582809
1991-02-01,8236.5997369338
1991-03-01,10040.0046777267
1991-04-01,9238.452318249609
1991-05-01,10306.766471265899
1991-06-01,8363.424377812491
1991-07-01,9597.60699593207
1991-08-01,8543.67012866024
1991-09-01,8371.61214991547
1991-10-01,9399.138662156929
1991-11-01,7699.685692935609
1991-12-01,8217.32696219822
1992-01-01,8233.08325197007
1992-02-01,9860.09982849315
1992-03-01,7358.682316677579
1992-04-01,8811.74645466085
1992-05-01,7397.417637451541
1992-06-01,8631.13817216869
1992-07-01,7742.01018017985
1992-08-01,7659.50074238625
1992-09-01,7603.418909559441
1992-10-01,7716.871637326899
1992-11-01,7515.46592807583
1992-12-01,9609.41605910734
1993-01-01,7998.87304520448
1993-02-01,6684.879027429611
1993-03-01,7988.237908735841
1993-04-01,7067.34269108119
1993-05-01,6606.04247414918
1993-06-01,7524.7024471224595
1993-07-01,6548.8672802971105
1993-08-01,6727.149854255999
1993-09-01,6994.526891211949
1993-10-01,6499.80681253894
1993-11-01,7011.23897921759
1993-12-01,7694.68965904505
1994-01-01,7156.03298923977
1994-02-01,7979.12930800287
1994-03-01,8541.853047464709
1994-04-01,7368.7154119467405
1994-05-01,7897.0617442613
1994-06-01,10478.2603348584
1994-07-01,6168.28478571869
1994-08-01,8430.807038022891
1994-09-01,8344.04293232648
1994-10-01,7810.1555091458995
1994-11-01,8409.84230979768
1994-12-01,6958.52871042376
1995-01-01,5843.68620604681
1995-02-01,7973.2045120579905
1995-03-01,5856.619361474301
1995-04-01,6404.65296671812
1995-05-01,7298.14311024389
1995-06-01,6531.2745108201
1995-07-01,6769.325509609051
1995-08-01,8823.62616275919
1995-09-01,6783.69813752085
1995-10-01,7141.794159858009
1995-11-01,7892.2359426914
1995-12-01,7898.267877813629
1996-01-01,7895.59816016555
1996-02-01,7199.749064701121
1996-03-01,7737.506627320509
1996-04-01,8151.778189723001
1996-05-01,7684.5338752180505
1996-06-01,6898.170820592621
1996-07-01,7782.42886671265
1996-08-01,7536.74457291533
1996-09-01,7523.82850139501
1996-10-01,9695.06358272596
1996-11-01,7305.45971300986
1996-12-01,6401.25246216756
1997-01-01,7455.08473988963
1997-02-01,9772.62501088796
1997-03-01,8017.88659695356
1997-04-01,8727.70199735385
1997-05-01,8657.78217727683
1997-06-01,8091.10135128437
1997-07-01,9244.13637577894
1997-08-01,8974.60125145167
1997-09-01,9866.476770604359
1997-10-01,11895.080867716699
1997-11-01,8793.77311860295
1997-12-01,9581.61279075809
1998-01-01,7767.20180032818
1998-02-01,9218.99113446939
1998-03-01,9634.21557286762
1998-04-01,10321.8271471838
1998-05-01,9498.83299194645
1998-06-01,11196.4225808158
1998-07-01,10282.856894178001
1998-08-01,10918.8284014338
1998-09-01,11102.3726971884
1998-10-01,11223.458634885901
1998-11-01,10839.2154695439
1998-12-01,10532.9003855029
1999-01-01,11041.5809849047
1999-02-01,10399.3077088054
1999-03-01,10921.135419205999
1999-04-01,10180.3815578633
1999-05-01,11118.2455658781
1999-06-01,11942.431501417901
1999-07-01,12125.658810891298
1999-08-01,10784.0375194916
1999-09-01,10989.865316806
1999-10-01,10952.4716726847
1999-11-01,11011.024066188702
1999-12-01,11604.3428099606
2000-01-01,11951.086643023998
2000-02-01,11922.901212883799
2000-03-01,12069.0493370727
2000-04-01,10757.5632567723
2000-05-01,11245.9330131392
2000-06-01,14511.7099648256
2000-07-01,10824.248700275899
2000-08-01,12134.9084044882
2000-09-01,11282.894383225901
2000-10-01,11611.500512480501
2000-11-01,12689.126735707
2000-12-01,12714.5293984404
2001-01-01,15950.574450565
2001-02-01,10619.324619012299
2001-03-01,11935.783931740702
2001-04-01,12151.7566365396
2001-05-01,12092.6805361772
2001-06-01,11909.291509126399
2001-07-01,10294.7771876743
2001-08-01,12798.944610561799
2001-09-01,9317.62878944208
2001-10-01,12003.8921480032
2001-11-01,11501.0718787853
2001-12-01,11770.5884133953
2002-01-01,11799.7292464228
2002-02-01,12748.1221552321
2002-03-01,11622.665975182299
2002-04-01,12554.2724294189
2002-05-01,11997.6956749241
2002-06-01,11516.4377913464
2002-07-01,13594.1654864178
2002-08-01,12963.800398956699
2002-09-01,13492.8305356521
2002-10-01,18188.6405935763
2002-11-01,14210.6122062277
2002-12-01,12675.397643433602
2003-01-01,15204.0249134203
2003-02-01,17762.2692246872
2003-03-01,14197.6561337656
2003-04-01,14986.3086116148
2003-05-01,15934.199828403202
